iter	MultiClass
0	4.297679643
1	4.250111395
2	4.205234187
3	4.170350478
4	4.123262934
5	4.083541224
6	4.044183012
7	3.993821465
8	3.955866069
9	3.915482171
10	3.877081027
11	3.844441254
12	3.797054395
13	3.7519744
14	3.719624737
15	3.687380722
16	3.657005812
17	3.628676066
18	3.601548359
19	3.567643385
20	3.541477932
21	3.519604035
22	3.49594681
23	3.475023943
24	3.45286367
25	3.427322386
26	3.40199027
27	3.378488548
28	3.352468332
29	3.325095102
30	3.304580768
31	3.281813877
32	3.261811774
33	3.241803857
34	3.222096801
35	3.198762559
36	3.177194624
37	3.158861242
38	3.141622562
39	3.123361675
40	3.102666538
41	3.083589047
42	3.068627718
43	3.052657162
44	3.034150193
45	3.016035634
46	2.996269485
47	2.977555818
48	2.964169569
49	2.947651306
50	2.930957594
51	2.914147156
52	2.899499169
53	2.884734385
54	2.872459594
55	2.854819885
56	2.842120218
57	2.823435101
58	2.811060786
59	2.797715968
60	2.78226962
61	2.76904421
62	2.757670377
63	2.745988901
64	2.732740348
65	2.716250809
66	2.702016257
67	2.68921488
68	2.677998436
69	2.665845311
70	2.653745526
71	2.64004919
72	2.626652233
73	2.616141519
74	2.606264918
75	2.594024967
76	2.583930275
77	2.57381984
78	2.561099559
79	2.549586794
80	2.537918891
81	2.526323582
82	2.51892136
83	2.506500982
84	2.497325336
85	2.490034274
86	2.480819001
87	2.473497791
88	2.463039666
89	2.457913552
90	2.448676224
91	2.438545943
92	2.427668937
93	2.421527932
94	2.409919754
95	2.402214298
96	2.393753385
97	2.383255939
98	2.373200766
99	2.364264569
