iter	Passed	Remaining
0	10	1013
1	20	1017
2	34	1114
3	47	1129
4	58	1112
5	70	1101
6	82	1095
7	94	1082
8	105	1065
9	118	1066
10	129	1048
11	141	1036
12	153	1028
13	164	1008
14	173	984
15	183	965
16	197	966
17	208	950
18	218	932
19	228	913
20	238	896
21	249	886
22	259	869
23	269	853
24	279	837
25	288	821
26	299	810
27	310	798
28	320	785
29	332	774
30	347	773
31	358	760
32	368	747
33	379	737
34	389	723
35	399	710
36	411	699
37	428	699
38	442	691
39	453	680
40	463	667
41	474	654
42	484	642
43	494	629
44	504	616
45	516	606
46	531	598
47	541	586
48	552	574
49	570	570
50	581	558
51	591	546
52	602	534
53	612	521
54	623	510
55	634	498
56	644	486
57	654	473
58	664	461
59	676	451
60	687	439
61	697	427
62	709	416
63	720	405
64	730	393
65	743	382
66	752	370
67	762	358
68	772	346
69	782	335
70	792	323
71	802	312
72	812	300
73	822	289
74	832	277
75	843	266
76	855	255
77	865	244
78	875	232
79	885	221
80	897	210
81	907	199
82	916	187
83	926	176
84	938	165
85	953	155
86	963	143
87	973	132
88	984	121
89	998	110
90	1008	99
91	1019	88
92	1030	77
93	1041	66
94	1052	55
95	1061	44
96	1072	33
97	1084	22
98	1093	11
99	1104	0
